gull (Bonaparteʼs),méhkʼénʼ utthíʼ denétʼro,Noun,birds,Noun Dictionary (Ritter),,,,,,
hawk,únzi,Noun,birds,Noun Dictionary (Ritter),,,,,,
kingfisher,téchʼáwʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
loon (Arctic) ,tthʼémbíʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
loon (common),tútsay,Noun,birds,Noun Dictionary (Ritter),,,,,,
loon (red-neck),tuchʼaat,Noun,birds,Noun Dictionary (Ritter),,,,,,
magpie,tsʼónkʼe zayn,Noun,birds,Noun Dictionary (Ritter),,,,,,
osprey,tʼo tsʼyáʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (great grey),etthédzaat,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (geat grey),etthélíʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (great horned),méddhin,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (small grey),nédéʼ tsʼéʼyaana,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (snowy),nédéʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (snowy),náhdéʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
phalarope,degay undáya,Noun,birds,Noun Dictionary (Ritter),,,,,,
phalarope,tagok ndoa,Noun,birds,Noun Dictionary (Ritter),,,,,,
pine grosbeak ,tthetʼo dzyawa,Noun,birds,Noun Dictionary (Ritter),,,,,,
ptarmigan,kʼambe,Noun,birds,Noun Dictionary (Ritter),,,,,,
raven,tsʼekʼi,Noun,birds,Noun Dictionary (Ritter),,,,,,
redpoll,damba,Noun,birds,Noun Dictionary (Ritter),,,,,,
robin,tútsi,Noun,birds,Noun Dictionary (Ritter),,,,,,
sandpiper,tadrua,Noun,birds,Noun Dictionary (Ritter),,,,,,
shrike,dzechʼun,Noun,birds,Noun Dictionary (Ritter),,,,,,
shrike,dzéhchʼun,Noun,birds,Noun Dictionary (Ritter),,,,,,
snipe (?),tachʼaat,Noun,birds,Noun Dictionary (Ritter),,,,,,
sparrow,gun chuan,Noun,birds,Noun Dictionary (Ritter),,,,,,
