EN,NT,Sem. Cat.,Sub Sem. Cat.,Speaker 1,Speaker 2,Source
scoter (common),łyat denétʼro,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
scoter (surf),tthetsáánʼ áwʼ,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
scoter (white-wing),ndáwʼ,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
shoveler,dałak,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
teal ,łyat jaada,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
widgeon,shashin,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
eagle (bald),ge saya,birds,eagle,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
eagle (bald),túnde,birds,eagle,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
eagle (golden),thak,birds,eagle,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
flycatcher,chuan dettho,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
goldfinch (?),dzuan ttho zra,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
goose (any?),khe,birds,goose,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
goose (snow),khe gay,birds,goose,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
goose (white-fronted),tádhák,birds,goose,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grouse (blue),di cho ,birds,grouse,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grouse (ruffer),intráʼ,birds,grouse,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grouse (ruffer),inták,birds,grouse,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grouse (spruce),di,birds,grouse,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grouse (spruce),dan dí,birds,grouse,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grouse (willow) ,intthʼúnʼ,birds,grouse,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
gull (any?),méhkʼénʼ,birds,gull,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
gull (any?),mékʼénʼ,birds,gull,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
gull (Bonaparteʼs),méhkʼénʼ utthíʼ denétʼro,birds,gull,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
hawk,únzi,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
kingfisher,téchʼáwʼ,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
loon (Arctic) ,tthʼémbíʼ,birds,loon,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
loon (common),tútsay,birds,loon,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
loon (red-neck),tuchʼaat,birds,loon,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
magpie,tsʼónkʼe zayn,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
osprey,tʼo tsʼyáʼ,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
