Sem. Cat.,EN,NT,Audio,Speaker,Source,Ques. / Notes,Sub Sem. Cat.,original spelling,Entry #,Page #,CR,see,Literal Meaning,Speaker 1,Speaker 2
birds,owl (great grey),etthélíʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,owl,,56,38,CR6,,,Tommy McGinty,Johnson Edwards
birds,owl (great horned),méddhįn,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,owl,méddhin,57,38,,,,Tommy McGinty,Johnson Edwards
birds,owl (small grey),nédéʼ tsʼéʼyaana,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,owl,,58,38,,,,Tommy McGinty,Johnson Edwards
birds,owl (snowy),nédéʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,owl,,59,38,CR7,,,Tommy McGinty,Johnson Edwards
birds,owl (snowy),náhdéʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,owl,náhdéʼ,60,38,CR7,,,Tommy McGinty,Johnson Edwards
birds,phalarope,degay undáya,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,61,38,CR8,,,Tommy McGinty,Johnson Edwards
birds,phalarope,tagok ndoa,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,tagok ndoa,62,38,CR8,,,Tommy McGinty,Johnson Edwards
birds,pine grosbeak ,tthetʼo dzyawa,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,63,38,,,,Tommy McGinty,Johnson Edwards
birds,ptarmigan,kʼembe,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,kʼambe,64,38,,,,Tommy McGinty,Johnson Edwards
birds,raven,tsʼekʼi,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,65,38,,,,Tommy McGinty,Johnson Edwards
birds,redpoll,damba,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,66,38,,,,Tommy McGinty,Johnson Edwards
birds,robin,tútsi,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,67,38,,,,Tommy McGinty,Johnson Edwards
birds,sandpiper,tadrua,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,68,38,,,,Tommy McGinty,Johnson Edwards
birds,shrike,dzechʼun,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,69,38,CR9,,,Tommy McGinty,Johnson Edwards
birds,shrike,dzéhchʼun,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,70,38,CR9,,,Tommy McGinty,Johnson Edwards
birds,snipe (?),tachʼaat,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,71,38,,,,Tommy McGinty,Johnson Edwards
